num_nodes,num_edges,graph_density,avg_degree,num_connected_component,failure_rate,bandwidth,latency,bully_time,bully_msg_count,ring_time,ring_msg_count,bi-dir_ring_time,bi-dir_msg_count,raft_time,raft_msg_count
4,5,.8333,2.5000,1,0.5,10,50,0.1262119807,20,,,0.29,22,0.116,49
4,5,.8333,2.5000,1,0.8,10,50,0.174,23,,,0.232,27,0.116,16
4,5,.8333,2.5000,1,0.2,10,80,,,0,18,,
4,5,.8333,2.5000,1,0.5,10,80,0.264,23,,,0.352,27,0.176,37
4,5,.8333,2.5000,1,0.8,10,80,0.1862119807,17,,,0.352,18,0.176,37
4,5,.8333,2.5000,1,0.2,100,20,0.0624,20,,,0.0832,27,0.0416,15
4,5,.8333,2.5000,1,0.5,100,20,0.0624,20,,,0.0832,27,0.0416,15
4,5,.8333,2.5000,1,0.8,100,20,0.0832,19,,,0.104,22,0.0416,15
4,5,.8333,2.5000,1,0.2,100,50,0.1024,20,,,0.254,22,0.1016,49
4,5,.8333,2.5000,1,0.5,100,50,0.1024,17,,,0.2032,18,0.1016,15
4,5,.8333,2.5000,1,0.8,100,50,0.1024,20,,,0.254,22,0.1016,49
4,5,.8333,2.5000,1,0.2,100,80,0.1624,20,,,0.404,22,0.1616,37
4,5,.8333,2.5000,1,0.5,100,80,,,0,18,0.1616,49
4,5,.8333,2.5000,1,0.8,100,80,0.2424,23,,,0.3232,27,0.1616,37
4,6,1.0000,3.0000,1,0.2,0.01,20,8.5142119807,21,,,40.1,22,,
4,6,1.0000,3.0000,1,0.5,0.01,20,8.5142119807,21,,,40.1,22,,
4,6,1.0000,3.0000,1,0.8,0.01,20,8.5142119807,21,,,40.1,22,,
4,6,1.0000,3.0000,1,0.2,0.01,50,8.5442119807,21,,,40.25,22,,
4,6,1.0000,3.0000,1,0.5,0.01,50,8.5442119807,21,,,40.25,22,,
4,6,1.0000,3.0000,1,0.8,0.01,50,8.5442119807,21,,,40.25,22,,
4,6,1.0000,3.0000,1,0.2,0.01,80,8.5742119807,21,,,40.4,22,,
4,6,1.0000,3.0000,1,0.5,0.01,80,8.5742119807,21,,,40.4,22,,
4,6,1.0000,3.0000,1,0.8,0.01,80,8.5742119807,21,,,40.4,22,,
